Day,Month,Hour,Temperature_mean,Temperature_min,Temperature_max,Temperature_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,WindDirection_mean,WindDirection_min,WindDirection_max,WindDirection_std,Speed_mean,Speed_min,Speed_max,Speed_std,Radiation_mean,SunDurationMinutes_mean,TimeSunRise_first,TimeSunSet_first
24,12,14,57.916666666666664,57,59,0.6685579234215225,30.41,30.41,30.41,0.0,60.416666666666664,54,68,4.440686542607684,104.24083333333334,6.98,355.52,117.58485419307223,7.873333333333334,4.5,12.37,2.8782107236435923,706.6125000000001,656.0,6.9,17.833333333333332
25,11,8,45.583333333333336,45,47,0.6685579234215224,30.49083333333333,30.49,30.5,0.0028867513459494114,102.0,102,102,0.0,121.3775,91.41,179.24,23.339042250739816,8.340833333333334,2.25,12.37,3.087869104424701,176.88583333333335,665.0,6.616666666666667,17.7
30,10,14,51.416666666666664,51,52,0.5149286505444383,30.4275,30.42,30.43,0.004522670168665794,101.08333333333333,101,102,0.28867513459481575,72.18416666666667,26.4,221.75,51.53867311558526,8.435,3.37,13.5,3.2368713850933837,320.5308333333333,686.0,6.383333333333334,17.816666666666666
26,11,9,50.25,49,52,0.9653072991634226,30.468333333333334,30.46,30.47,0.0038924947208071044,68.08333333333333,58,77,5.915439480074512,73.39416666666666,18.71,136.03,34.190677213727916,8.810833333333333,3.37,14.62,3.648233590840002,528.58,664.0,6.633333333333333,17.7
28,10,12,49.833333333333336,49,50,0.3892494720807609,30.400833333333335,30.39,30.41,0.005149286505446609,101.0,101,101,0.0,77.37916666666668,6.13,336.54,92.68888267731842,4.498333333333333,1.12,11.25,2.797849282227441,600.265,689.0,6.366666666666666,17.85
27,9,13,59.416666666666664,59,60,0.5149286505444383,30.373333333333335,30.37,30.38,0.004923659639172792,81.0,78,83,1.595448070434932,72.41333333333334,0.11,359.84,132.75125969841173,4.591666666666667,2.25,7.87,1.3941816324433571,266.72583333333336,722.0,6.216666666666667,18.25
15,11,12,54.333333333333336,54,55,0.49236596391733134,30.455833333333334,30.45,30.46,0.005149286505446056,98.33333333333333,96,100,1.3706888336846839,97.335,0.11,359.94,110.1839450027255,5.9975,1.12,14.62,4.080316665518632,694.6958333333333,672.0,6.516666666666667,17.716666666666665
8,10,11,61.25,61,62,0.4522670168666463,30.420833333333334,30.42,30.43,0.0028867513459476476,71.66666666666667,68,77,3.1139957766460893,24.166666666666668,0.47,71.31,23.921477353789815,5.06,2.25,11.25,2.422586896837195,831.7658333333334,710.0,6.25,18.083333333333332
2,11,9,62.666666666666664,62,63,0.4923659639173298,30.48,30.48,30.48,0.0,14.166666666666666,12,15,1.0298573010888743,89.28666666666668,12.62,336.63,86.73318095624003,4.779166666666667,1.12,9.0,2.257800451498732,702.9608333333334,684.0,6.4,17.8
19,11,8,54.416666666666664,54,55,0.5149286505444375,30.440833333333334,30.43,30.45,0.0066855792342146335,42.75,36,54,6.254089571123548,121.07083333333334,36.35,359.94,94.61528892965673,5.435833333333334,2.25,7.87,2.2399409827182066,421.4691666666667,668.0,6.566666666666666,17.7
29,9,11,62.916666666666664,62,63,0.28867513459481253,30.465833333333332,30.46,30.47,0.005149286505443385,37.333333333333336,31,41,3.651483716701107,112.94833333333332,4.51,350.0,141.84536899758342,7.123333333333334,2.25,11.25,2.769805813125578,1013.2950000000001,720.0,6.216666666666667,18.216666666666665
5,12,10,45.0,45,45,0.0,30.37833333333333,30.37,30.38,0.003892494720805906,93.0,93,93,0.0,313.67583333333334,294.09,344.26,13.503115100755169,5.2475,1.12,7.87,1.6846587191475904,138.77333333333334,659.0,6.733333333333333,17.716666666666665
23,10,17,52.166666666666664,50,57,2.167249338901661,30.3925,30.39,30.4,0.004522670168665811,71.41666666666667,46,87,13.097246992703424,114.08666666666666,41.35,165.54,31.981010369317982,6.559166666666666,3.37,10.12,2.136494402832203,34.446666666666665,694.0,6.333333333333333,17.9
1,10,8,53.583333333333336,52,54,0.6685579234215214,30.47,30.47,30.47,0.0,100.41666666666667,100,101,0.5149286505444335,82.84083333333334,32.56,174.92,51.246122063187876,5.06,1.12,10.12,2.7773957717126434,460.8341666666667,718.0,6.216666666666667,18.183333333333334
2,9,16,61.333333333333336,60,62,0.778498944161521,30.4325,30.43,30.44,0.004522670168667419,77.83333333333333,73,84,3.379976689896314,41.847500000000004,4.88,90.55,27.67264751436959,5.528333333333333,2.25,11.25,2.559317498984067,444.01250000000005,750.0,6.116666666666666,18.616666666666667
18,9,18,53.72727272727273,53,54,0.46709936649691264,30.429090909090913,30.42,30.43,0.0030151134457771433,101.0,101,101,0.0,162.99545454545455,74.23,196.93,34.38937520910677,4.190909090909091,1.12,7.87,2.255018645357304,5.871818181818182,732.0,6.183333333333334,18.383333333333333
4,10,10,56.25,56,57,0.4522670168666463,30.47,30.47,30.47,0.0,98.41666666666667,96,100,1.2401124093721465,107.23666666666666,0.11,359.92,153.56574720669812,3.935,0.0,9.0,2.2240564904532603,458.9175,714.0,6.233333333333333,18.133333333333333
7,11,8,59.25,56,62,2.0056737702645657,30.459999999999997,30.46,30.46,0.0,14.083333333333334,11,16,1.3113721705515071,257.2441666666667,231.9,306.16,24.801822681676704,7.6866666666666665,6.75,11.25,1.4255992891880005,472.385,679.0,6.45,17.766666666666666
8,9,11,57.0,57,57,0.0,30.44,30.44,30.44,0.0,76.0,76,76,0.0,2.69,2.69,2.69,0.0,3.37,3.37,3.37,0.0,490.29,743.0,6.15,18.533333333333335
17,10,10,64.0,64,64,0.0,30.480833333333333,30.48,30.49,0.00288675134594767,33.0,24,44,6.252272314199781,70.21666666666667,3.88,307.5,82.93058174086798,8.1525,5.62,12.37,2.497599301875157,887.5875,700.0,6.3,17.966666666666665
6,9,14,58.75,58,60,0.7537783614444116,30.395833333333332,30.39,30.41,0.006685579234215267,82.83333333333333,80,85,1.8989630344113015,104.395,2.21,357.05,144.0765416209542,7.404166666666666,3.37,12.37,2.7329519782007723,706.6041666666666,746.0,6.133333333333334,18.566666666666666
30,10,12,53.416666666666664,52,55,0.900336637378521,30.449166666666667,30.44,30.46,0.005149286505442974,94.33333333333333,90,99,3.1139957766460937,88.70833333333333,20.03,147.63,41.899052025148016,6.935,3.37,13.5,2.831730919420134,773.2808333333332,686.0,6.383333333333334,17.816666666666666
8,11,11,61.083333333333336,60,63,1.2401124093721438,30.430000000000003,30.42,30.44,0.00603022689155344,58.25,54,62,2.137330535547046,284.11,0.13,359.93,128.81040323598936,5.154166666666667,2.25,7.87,1.9450237593002366,873.9291666666667,678.0,6.45,17.75
7,10,14,56.833333333333336,56,58,0.7177405625652724,30.385833333333334,30.38,30.39,0.005149286505443647,97.25,94,99,1.7645499039801424,45.33583333333333,0.11,358.37,99.63042648237838,4.684166666666667,2.25,7.87,1.7834005226651763,144.22416666666666,711.0,6.25,18.1
20,9,7,53.5,48,57,3.424510582152248,30.404166666666665,30.4,30.41,0.005149286505443647,48.083333333333336,32,61,9.11001779594443,99.74666666666667,42.35,149.07,38.25481082838015,3.7475,1.12,6.75,1.5426902416940937,287.11,730.0,6.183333333333334,18.35
17,12,14,58.833333333333336,56,60,1.3371158468430415,30.245,30.24,30.25,0.005222329678671103,73.16666666666667,69,79,3.4597249846912645,128.15416666666667,0.57,359.88,161.25547745218867,7.964166666666666,2.25,12.37,3.1249071501357757,701.945,656.0,6.85,17.783333333333335
20,9,16,55.666666666666664,55,57,0.6513389472789295,30.38,30.38,30.38,0.0,94.25,92,96,1.2880570286640682,21.9025,0.18,44.52,15.893898271749675,3.7483333333333335,0.0,7.87,1.877681516868044,195.4775,730.0,6.183333333333334,18.35
16,11,16,62.75,61,64,0.965307299163423,30.410833333333333,30.41,30.42,0.00288675134594854,18.416666666666668,16,20,1.1645001528813153,134.09166666666667,109.59,169.6,18.044048544569698,13.871666666666668,7.87,19.12,3.3700224799178295,275.3258333333333,671.0,6.533333333333333,17.716666666666665
12,11,13,61.666666666666664,61,62,0.49236596391733345,30.45,30.44,30.46,0.006030226891554539,53.916666666666664,50,57,2.2746961169005457,71.995,0.11,241.25,70.65765653680235,6.3725,3.37,13.5,2.8922125063380424,831.9191666666667,674.0,6.5,17.733333333333334
15,11,17,52.75,51,54,1.1381803659589917,30.445000000000004,30.44,30.45,0.005222329678669034,94.58333333333333,92,96,1.1645001528813153,112.61083333333333,2.95,153.97,44.90086098756061,7.778333333333333,3.37,12.37,2.733232629334833,35.54333333333333,672.0,6.516666666666667,17.716666666666665
