"Day","Month","Hour","Mean_Temperature","Min_Temperature","Max_Temperature","SD_Temperature","Mean_Pressure","Min_Pressure","Max_Pressure","SD_Pressure","Mean_Humidity","Min_Humidity","Max_Humidity","SD_Humidity","Mean_WindDirection","Min_WindDirection","Max_WindDirection","SD_WindDirection","Mean_Speed","Min_Speed","Max_Speed","SD_Speed","Mean_Radiation","SunDurationMinutes"
26,10,10,63.3333333333333,62,65,0.887625364598595,30.45,30.45,30.45,0,38.75,20,48,10.5754862342546,139.0125,32.79,356.56,124.40933121427,5.99833333333333,2.25,10.12,2.10858777959146,866.3475,691
5,11,15,62.5833333333333,61,65,1.56427928995103,30.4308333333333,30.43,30.44,0.00288675134594858,50.75,42,61,6.55223764692782,103.025,3.56,347.05,117.257495011465,9.185,3.37,15.75,3.14000144759666,537.126666666667,680
14,9,16,55.6666666666667,55,57,0.65133894727893,30.4041666666667,30.4,30.41,0.00514928650544518,98.75,98,99,0.452267016866645,111.829166666667,0.49,336.08,153.77593265163,3.0925,0,10.12,2.88165080529136,243.425833333333,736
8,9,14,55,55,55,0,30.4,30.4,30.4,0,92.5,91,94,2.12132034355964,185.3,32.83,337.77,215.625141855026,6.185,5.62,6.75,0.799030662740799,493.635,743
16,11,11,63.4166666666667,62,65,1.16450015288132,30.4708333333333,30.46,30.48,0.00668557923421521,30.25,14,45,11.4821996625607,120.793333333333,2.45,358.24,122.852935387533,9.74833333333333,5.62,15.75,3.08416139576896,889.725,671
3,11,6,46.6666666666667,45,48,0.984731927834662,30.425,30.42,30.43,0.0052223296786699,37.4166666666667,37,38,0.514928650544437,172.565,134,190.55,14.7994038577726,8.81083333333333,6.75,11.25,1.50471053291947,8.13416666666667,682
5,9,17,56.25,55,57,0.621581560508061,30.3991666666667,30.39,30.4,0.00288675134594755,96.3333333333333,95,97,0.65133894727893,176.7475,1.05,358.66,168.310579429005,2.80833333333333,1.12,4.5,1.31488563853449,146.5925,747
15,12,7,41.8333333333333,41,43,0.834847109936722,30.2541666666667,30.24,30.27,0.00900336637378547,82.1666666666667,68,93,8.21122660899347,274.755833333333,247.26,306.05,16.1583558222607,16.9666666666667,10.12,23.62,4.05511648377327,27.2666666666667,656
18,10,13,57.75,57,58,0.452267016866645,30.405,30.4,30.41,0.00522232967867175,99.6666666666667,99,100,0.492365963917331,95.2475,6.3,359.66,120.755939294927,6.65416666666667,2.25,12.37,2.97496052940458,686.381666666667,699
20,12,8,52.5833333333333,48,56,2.84312035153866,30.5433333333333,30.54,30.55,0.00492365963917408,69.5,65,75,3.96576256567041,132.92,81.62,171.18,29.5377878164718,5.6225,1.12,10.12,2.67086681537185,365.378333333333,656
19,11,16,50.75,50,52,0.621581560508061,30.4133333333333,30.41,30.42,0.00492365963917408,81.3333333333333,75,85,2.83912064918102,78.2108333333333,1.34,164.48,52.1338698942589,6.46666666666667,3.37,13.5,3.18709994518623,186.714166666667,668
5,12,10,45,45,45,0,30.3783333333333,30.37,30.38,0.00389249472080684,93,93,93,0,313.675833333333,294.09,344.26,13.5031151007552,5.2475,1.12,7.87,1.68465871914759,138.773333333333,659
19,9,10,66.9166666666667,66,67,0.288675134594813,30.45,30.45,30.45,0,26.25,21,34,3.7446932147677,70.7858333333333,5.33,336.46,90.0380944084057,5.34166666666667,2.25,10.12,2.09655923027722,947.2075,731
25,9,6,47.0833333333333,46,48,0.668557923421521,30.4608333333333,30.46,30.47,0.00288675134594755,66.75,64,69,1.95982373975546,183.440833333333,162.57,188.94,7.62324728986436,6.935,4.5,10.12,1.57856954809784,14.9175,724
29,10,8,49,49,49,0,30.4258333333333,30.42,30.43,0.00514928650544335,102,102,102,0,79.5516666666667,0.18,144.31,34.4901848576541,3.74666666666667,1.12,5.62,1.75123506201316,197.563333333333,687
14,10,12,64,63,65,0.852802865422442,30.465,30.46,30.47,0.0052223296786699,60.4166666666667,57,62,1.37895436890245,34.0825,0.11,64.16,18.3044933008264,8.81,3.37,12.37,2.57643516934119,999.305833333333,703
11,11,7,49.5,47,55,2.43086217402199,30.4916666666667,30.48,30.5,0.00577350269189651,35.9166666666667,28,39,3.89541299790438,165.3975,71.18,191.64,36.1415364479456,5.43416666666667,1.12,9,2.87165919202671,89.845,675
4,9,6,52.0833333333333,52,53,0.288675134594813,30.4466666666667,30.44,30.45,0.00492365963917233,87.3333333333333,87,88,0.492365963917331,165.3725,149.38,187.24,11.2385457850932,7.40333333333333,5.62,10.12,1.30970734644551,23.3741666666667,747
15,10,11,66.3636363636364,64,68,1.20604537831105,30.5145454545455,30.51,30.52,0.0052223296786699,34.6363636363636,27,41,5.25875892721329,82.1454545454545,0.88,337.76,91.4755308663072,7.97454545454545,5.62,10.12,1.4638740631377,988.189090909091,702
