Day,Month,Hour,Temperature_mean,Temperature_min,Temperature_max,Temperature_std,Pressure_mean,Pressure_min,Pressure_max,Pressure_std,Humidity_mean,Humidity_min,Humidity_max,Humidity_std,WindDirection_mean,WindDirection_min,WindDirection_max,WindDirection_std,Speed_mean,Speed_min,Speed_max,Speed_std,Radiation_mean,SunDurationMinutes_mean,TimeSunRise_first,Proportion_Of_Day,Hour_Sin,Hour_Cos,Temp_Ratio,Wind_Energy,WindDir_Sin,WindDir_Cos,Humidity_Ratio,Time_To_Noon,Wind_Humidity_Interaction,Temp_Time_Interaction
20,9,9,60.6,60,62,0.6992058987801008,30.420000000000005,30.42,30.42,0.0,64.1,56,71,4.724639903973869,73.986,3.51,358.22,101.74213103069285,4.047,2.25,5.62,1.3193773784125096,782.743,730.0,6.183333333333334,0.23150684931506846,0.7071067811865476,-0.7071067811865475,0.9774193548387097,16.378209,0.9611943163313106,0.2758722281281399,0.9028169014084506,3.2666666666666675,259.4127,14.02931506849315
20,9,10,61.81818181818182,61,62,0.4045199174779455,30.42727272727273,30.42,30.43,0.0046709936649681,61.0,55,66,4.074309757492674,49.73,0.11,359.9,103.7158410272992,5.825454545454545,3.37,7.87,1.8005408278423665,915.5618181818182,730.0,6.183333333333334,0.31369863013698623,0.49999999999999994,-0.8660254037844387,0.9970674486803519,33.93592066115702,0.7630068834719111,0.6463903586645467,0.9242424242424242,2.2666666666666675,355.35272727272724,19.392278953922787
20,9,11,62.714285714285715,62,63,0.4879500364742655,30.42,30.42,30.42,0.0,56.42857142857143,52,64,4.540820148282425,32.472857142857144,0.38,76.29,26.20408092536079,4.8185714285714285,3.37,9.0,2.0258613688291423,1026.7242857142858,730.0,6.183333333333334,0.39589041095890404,0.258819045102521,-0.9659258262890682,0.9954648526077098,23.218630612244898,0.536900006364156,0.8436458873047206,0.8816964285714286,1.2666666666666675,271.90510204081636,24.827984344422696
20,9,12,63.18181818181818,62,65,0.8738628975053024,30.406363636363633,30.4,30.41,0.0050452497910969,56.0,39,65,8.497058314499203,19.685454545454544,0.12,47.89,18.914625750268687,7.259090909090909,3.37,10.12,2.4307630676207603,1055.9845454545457,730.0,6.183333333333334,0.47808219178082184,1.2246467991473532e-16,-1.0,0.972027972027972,52.69440082644628,0.3368562401330217,0.9415560915226687,0.8615384615384616,0.2666666666666675,406.5090909090909,30.206102117061015
20,9,13,62.833333333333336,62,64,0.7177405625652737,30.390833333333333,30.38,30.4,0.0051492865054445,65.91666666666667,59,73,4.2949935619241275,114.24,0.11,357.95,142.152618880362,5.903333333333333,2.25,10.12,2.631689168345661,991.9966666666666,730.0,6.183333333333334,0.5602739726027397,-0.2588190451025208,-0.9659258262890683,0.9817708333333334,34.84934444444445,0.9118337136525758,-0.41055971386212786,0.9029680365296804,0.7333333333333325,389.1280555555556,35.203881278538816
20,9,14,61.22222222222222,59,63,1.394433377556792,30.38222222222222,30.38,30.39,0.0044095855184415,80.0,75,85,3.5707142142714225,29.09111111111111,0.1,87.23,32.933398110597565,6.747777777777778,4.5,9.0,1.5918760769747262,753.1877777777778,730.0,6.183333333333334,0.6424657534246575,-0.4999999999999998,-0.8660254037844388,0.9717813051146384,45.532504938271614,0.48619981721841543,0.8738476627746848,0.9411764705882353,1.7333333333333325,539.8222222222223,39.33318112633181
20,9,15,58.5,57,60,1.414213562373095,30.38,30.38,30.38,0.0,88.0,84,92,3.162277660168379,56.57375,0.1,346.95,118.33743592401952,5.3412500000000005,3.37,6.75,1.4436307155422896,393.135,730.0,6.183333333333334,0.7246575342465753,-0.7071067811865471,-0.7071067811865479,0.975,28.528951562500005,0.8345955734934521,0.5508631669526796,0.9565217391304348,2.7333333333333325,470.03000000000003,42.39246575342465
20,9,16,55.77777777777778,55,57,0.666666666666667,30.380000000000003,30.38,30.38,0.0,93.88888888888889,92,95,1.2692955176439844,26.023333333333333,0.18,44.52,16.3370430310996,4.247777777777778,2.25,7.87,1.568341303557502,203.44444444444449,730.0,6.183333333333334,0.806849315068493,-0.8660254037844384,-0.5000000000000004,0.9785575048732944,18.04361604938272,0.4387371384537556,0.8986154479761685,0.9883040935672515,3.7333333333333325,398.8191358024692,45.00426179604261
20,9,17,53.0,51,55,1.4142135623730951,30.38,30.38,30.38,0.0,98.0,96,99,1.0954451150103333,45.81454545454545,10.23,86.49,23.55181664485199,4.088181818181818,2.25,5.62,1.2591014111803556,63.83727272727273,730.0,6.183333333333334,0.8890410958904108,-0.9659258262890683,-0.25881904510252063,0.9636363636363636,16.713230578512395,0.7170875711137669,0.6969830811104085,0.98989898989899,4.7333333333333325,400.64181818181817,47.11917808219177
20,9,18,50.22222222222222,50,51,0.4409585518440976,30.39,30.39,30.39,0.0,100.22222222222224,99,101,0.6666666666666679,97.09444444444443,58.31,126.55,26.872292008270858,2.8722222222222222,1.12,4.5,0.9920027441718317,3.2577777777777777,730.0,6.183333333333334,0.9712328767123286,-1.0,-1.8369701987210297e-16,0.9847494553376906,8.249660493827161,0.9923439179580164,-0.12350525693966899,0.9922992299229925,5.7333333333333325,287.86049382716055,48.777473363774725
20,10,7,45.75,44,49,1.8322507626258089,30.46,30.46,30.46,0.0,79.625,73,84,4.1035698744246725,136.0225,90.95,164.48,22.60658611365912,4.92,3.37,9.0,1.7986899994956649,131.51375000000002,697.0,6.316666666666666,0.058823529411764726,0.9659258262890683,-0.25881904510252063,0.9336734693877551,24.2064,0.6943758328247099,-0.7196125365701951,0.9479166666666666,5.125,391.755,2.6911764705882364
20,10,8,51.63636363636363,50,53,0.924416277737175,30.475454545454543,30.47,30.48,0.0052223296786707,63.36363636363637,58,68,3.61310745128698,80.23272727272727,42.31,167.67,33.05001303809398,4.292727272727273,1.12,7.87,2.182746393464394,512.3672727272727,697.0,6.316666666666666,0.14490674318507893,0.8660254037844387,-0.49999999999999983,0.974271012006861,18.42750743801653,0.9855049611632908,0.16964660775429793,0.9318181818181819,4.125,272.0028099173554,7.482457284465894
20,10,9,53.72727272727273,53,54,0.4670993664969138,30.480000000000004,30.48,30.48,0.0,58.0,55,60,1.732050807568877,41.553636363636365,0.15,104.92,31.58259276016688,3.7818181818181817,1.12,9.0,2.265245320850782,714.3063636363636,697.0,6.316666666666666,0.2309899569583931,0.7071067811865476,-0.7071067811865475,0.9949494949494949,14.302148760330578,0.6633208785485212,0.7483350934451878,0.9666666666666667,3.125,219.34545454545454,12.410460414764575
20,10,10,54.81818181818182,54,55,0.4045199174779453,30.479090909090907,30.47,30.48,0.0030151134457781,55.45454545454545,52,59,2.252271580588644,56.151818181818186,14.92,156.13,42.78371508370488,6.031818181818181,4.5,10.12,1.6117804948678225,870.1463636363637,697.0,6.316666666666666,0.3170731707317073,0.49999999999999994,-0.8660254037844387,0.996694214876033,36.38283057851239,0.8305163690753549,0.5569942196269984,0.9399075500770416,2.125,334.49173553719004,17.38137472283814
20,10,11,56.111111111111114,56,57,0.3333333333333344,30.465555555555554,30.46,30.47,0.0052704627669461,54.55555555555556,53,56,1.0137937550497025,37.05444444444444,5.9,66.34,23.6418543641944,4.748888888888889,1.12,9.0,2.564695130246695,959.1377777777776,697.0,6.316666666666666,0.4031563845050215,0.258819045102521,-0.9659258262890682,0.9844054580896686,22.551945679012345,0.6025736426006892,0.7980632839837558,0.9742063492063492,1.125,259.07827160493827,22.6215526861151
