"Day","Month","Hour","Temperature_mean","Temperature_min","Temperature_max","Temperature_std","Pressure_mean","Pressure_min","Pressure_max","Pressure_std","Humidity_mean","Humidity_min","Humidity_max","Humidity_std","WindDirection_mean","WindDirection_min","WindDirection_max","WindDirection_std","Speed_mean","Speed_min","Speed_max","Speed_std","Radiation_mean","SunDurationMinutes_mean","TimeSunRise_first","TimeSunSet_first","Proportion_Of_Day","Hour_Sin","Hour_Cos","Temp_Amplitude","Temp_Ratio","Wind_Energy","WindDir_Sin","WindDir_Cos","Humidity_Ratio","Time_To_Noon","Wind_Humidity_Interaction","Temp_Time_Interaction"
26,9,8,54.1818181818182,51,57,2.13626692237566,30.4445454545455,30.44,30.45,0.00522232967866956,87.7272727272727,73,98,8.90045964083776,110.189090909091,43.31,176.52,47.1907782208655,6.43909090909091,3.37,11.25,2.93804851745322,517.623636363636,723,6.2,18.25,0.149377593360996,0.866025403784439,-0.5,6,0.950558213716108,41.4618917355372,0.938558750371389,-0.345119504087059,0.89517625231911,4.225,564.883884297521,8.09354960392305
26,9,9,57.3636363636364,57,58,0.504524979109513,30.45,30.45,30.45,0,67.2727272727273,60,72,3.40854541090211,126.010909090909,2.38,339.69,109.960458843581,7.56636363636364,4.5,10.12,2.30882339180489,757.577272727273,723,6.2,18.25,0.232365145228216,0.707106781186548,-0.707106781186547,1,0.989028213166144,57.2498586776859,0.808905065661053,-0.587939278112875,0.934343434343434,3.225,509.009917355372,13.3293096944549
26,9,10,58.75,58,59,0.462910049886275,30.45,30.45,30.45,0,64.75,58,72,5.52268050859363,62.92125,22.24,101.13,29.5710338181036,7.7325,2.25,12.37,3.20514653108314,914.2925,723,6.2,18.25,0.315352697095436,0.5,-0.866025403784439,1,0.995762711864407,59.79155625,0.890381696999766,0.455214711589835,0.899305555555556,2.225,500.679375,18.5269709543568
26,9,12,60,60,60,0,30.4175,30.41,30.42,0.00500000000000088,64.5,61,69,3.69684550213647,108.2675,14.64,341.03,155.633687521907,10.9675,9,12.37,1.41393953194611,1036.2325,723,6.2,18.25,0.481327800829875,1.22460635382238e-16,-1,0,1,120.28605625,0.949603431463462,-0.313453860963329,0.934782608695652,0.225000000000001,707.40375,28.8796680497925
26,9,13,59.6363636363636,59,60,0.504524979109513,30.4036363636364,30.4,30.41,0.00504524979109568,69.3636363636364,66,73,2.15743955988238,96.2936363636364,6.91,359.92,125.49163249179,8.79272727272727,3.37,15.75,4.2356087895581,954.945454545454,723,6.2,18.25,0.564315352697095,-0.258819045102521,-0.965925826289068,1,0.993939393939394,77.312052892562,0.993973137120181,-0.109623914742479,0.950186799501868,0.774999999999999,609.895537190083,33.6537155790268
26,9,14,58.9,58,59,0.316227766016838,30.39,30.38,30.4,0.0047140452079107,74.7,72,80,2.62678510731275,135.452,18,353.76,140.226169042887,7.648,2.25,12.37,3.03669337712365,872.402,723,6.2,18.25,0.647302904564315,-0.5,-0.866025403784439,1,0.998305084745763,58.491904,0.7015065495664,-0.712663006557408,0.93375,1.775,571.3056,38.1261410788382
26,9,15,58,58,58,0,30.388,30.38,30.39,0.00421637021355771,76.1,70,79,3.17804971641415,77.144,15.15,352.07,98.4956121075677,8.66,3.37,14.62,3.67470331379888,678.184,723,6.2,18.25,0.730290456431535,-0.707106781186547,-0.707106781186548,0,1,74.9956,0.974932350528394,0.222501487395435,0.963291139240506,2.775,659.026,42.3568464730291
26,9,16,57,56,58,0.707106781186548,30.3888888888889,30.38,30.39,0.00333333333333491,74.3333333333333,69,82,3.80788655293195,67.5477777777778,0.11,353.86,111.181592875999,6.62333333333333,3.37,11.25,2.35076583265965,394.741111111111,723,6.2,18.25,0.813278008298755,-0.866025403784438,-0.5,2,0.982758620689655,43.8685444444444,0.924198323143459,0.381912895172208,0.90650406504065,3.775,492.334444444444,46.356846473029
26,9,17,53.7,53,56,1.05934990547138,30.388,30.38,30.39,0.00421637021355833,85.2,82,87,1.68654808542314,52.479,1.09,94.13,33.7636156732855,6.41,2.25,13.5,3.4385235849772,151.167,723,6.2,18.25,0.896265560165975,-0.965925826289068,-0.258819045102521,3,0.958928571428571,41.0881,0.79313016429096,0.609052167299153,0.979310344827586,4.775,546.132,48.1294605809129
26,9,18,50.5555555555556,50,52,0.881917103688196,30.3933333333333,30.39,30.4,0.0049999999999994,77.7777777777778,68,86,7.01387513750027,107.064444444444,58.86,327.69,85.2495174636067,5.74888888888889,4.5,11.25,2.21066417872799,5.74,723,6.2,18.25,0.979253112033195,-1,-1.83690953073357e-16,2,0.972222222222222,33.0497234567901,0.955975300859072,-0.29344714029516,0.904392764857881,5.775,447.135802469136,49.5066851083449
